question_id,strategy,evaluation_k,recall_at_k,precision_at_k,mrr,ndcg_at_k,coverage,latency_ms,total_candidate_budget,vector_candidate_k,graph_candidate_k,rrf_k,weights,reranker,embedding_tag,chunk_size,chunk_overlap
MEAN,Chroma (Vector) k=3,3,0.425,0.6416666666666667,0.7,0.47591623674445627,0.24571428571428572,79.06686500209616,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Vector) k=3,3,0.425,0.6416666666666667,0.7,0.47591623674445627,0.24571428571428572,44.93953499768395,9,9,0,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Graph) k=3,3,0.625,0.55,0.6666666666666667,0.6032867981913645,0.45666666666666667,3.2806750023155473,9,0,9,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Chroma (Vector) k=5,5,0.475,0.625,0.7,0.5146015174679104,0.24571428571428572,56.70396499772323,15,15,0,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Vector) k=5,5,0.475,0.625,0.7,0.5146015174679104,0.24571428571428572,45.44076999736717,15,15,0,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Graph) k=5,5,0.625,0.5083333333333333,0.6666666666666667,0.6032867981913645,0.465,3.4454249995178543,15,0,15,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Chroma (Vector) k=8,8,0.55,0.5833333333333333,0.725,0.568615478010501,0.2657142857142857,39.466014997742604,24,24,0,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Vector) k=8,8,0.55,0.5833333333333333,0.725,0.568615478010501,0.2657142857142857,43.53354000049876,24,24,0,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Graph) k=8,8,0.625,0.5083333333333333,0.6666666666666667,0.6032867981913645,0.465,3.315139999904204,24,0,24,,{},off,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Hybrid) k=3 tc=def w=45/55 rrf=60 reranker=off,3,0.725,0.5416666666666666,0.7166666666666667,0.6653286798191365,0.47000000000000003,45.65969999675872,,,,60,"{'vector': 0.45, 'graph': 0.55}",off,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Hybrid) k=3 tc=def w=45/55 rrf=60 reranker=on,3,0.725,0.5416666666666666,0.8,0.7032867981913646,0.47000000000000003,44.470559994806536,,,,60,"{'vector': 0.45, 'graph': 0.55}",on,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Hybrid) k=3 tc=def w=45/55 rrf=30 reranker=off,3,0.725,0.5416666666666666,0.7166666666666667,0.6653286798191365,0.47000000000000003,47.64055499545066,,,,30,"{'vector': 0.45, 'graph': 0.55}",off,intfloat/multilingual-e5-small,1200,200
MEAN,Neo4j (Hybrid) k=3 tc=def w=45/55 rrf=30 reranker=on,3,0.725,0.5416666666666666,0.8,0.7032867981913646,0.47000000000000003,53.62056000449229,,,,30,"{'vector': 0.45, 'graph': 0.55}",on,intfloat/multilingual-e5-small,1200,200
