question_id,strategy,evaluation_k,recall_at_k,precision_at_k,mrr,ndcg_at_k,coverage,latency_ms,total_candidate_budget,vector_candidate_k,graph_candidate_k,rrf_k,weights,reranker,embedding_tag,chunk_size,chunk_overlap
MEAN,Chroma (Vector) k=3,3,0.5,0.6583333333333333,0.7416666666666667,0.5372309560210021,0.2519047619047619,57.08473999693524,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Vector) k=3,3,0.5,0.6583333333333333,0.7416666666666667,0.5372309560210021,0.2519047619047619,35.730244996375404,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Graph) k=3,3,0.65,0.6083333333333333,0.7416666666666667,0.649272837648774,0.4732142857142857,3.8821699941763654,9,0,9,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Chroma (Vector) k=5,5,0.55,0.6166666666666667,0.7416666666666667,0.5719022762018656,0.2619047619047619,40.79742500616703,15,15,0,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Vector) k=5,5,0.55,0.6166666666666667,0.7416666666666667,0.5719022762018656,0.2619047619047619,39.11171999934595,15,15,0,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Graph) k=5,5,0.675,0.5741666666666666,0.7541666666666667,0.6624762437774034,0.4832142857142857,4.602380003780127,15,0,15,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Chroma (Vector) k=8,8,0.6,0.5916666666666667,0.7666666666666667,0.6105875569253199,0.3052380952380952,43.79986000712961,24,24,0,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Vector) k=8,8,0.6,0.5916666666666667,0.7666666666666667,0.6105875569253199,0.3052380952380952,39.83631001028698,24,24,0,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Graph) k=8,8,0.675,0.5741666666666666,0.7541666666666667,0.6624762437774034,0.4832142857142857,3.812394998385571,24,0,24,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=def w=45/55 rrf=60 reranker=lexical,3,0.75,0.575,0.8416666666666666,0.737958118372228,0.4848809523809524,40.642165002645925,,,,60,"{'vector': 0.45, 'graph': 0.55}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=def w=45/55 rrf=30 reranker=lexical,3,0.75,0.575,0.8416666666666666,0.737958118372228,0.4848809523809524,50.58226499531884,,,,30,"{'vector': 0.45, 'graph': 0.55}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=def w=50/50 rrf=60 reranker=lexical,3,0.75,0.575,0.8416666666666666,0.737958118372228,0.4848809523809524,44.700325006851926,,,,60,"{'vector': 0.5, 'graph': 0.5}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=def w=50/50 rrf=30 reranker=lexical,3,0.75,0.575,0.8416666666666666,0.737958118372228,0.4848809523809524,39.18519000581,,,,30,"{'vector': 0.5, 'graph': 0.5}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=def w=60/40 rrf=60 reranker=lexical,3,0.75,0.575,0.8166666666666667,0.7266433990956822,0.4848809523809524,32.138594999560155,,,,60,"{'vector': 0.6, 'graph': 0.4}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=def w=60/40 rrf=30 reranker=lexical,3,0.75,0.575,0.8166666666666667,0.7266433990956822,0.4848809523809524,29.082784996717237,,,,30,"{'vector': 0.6, 'graph': 0.4}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=30 w=45/55 rrf=60 reranker=lexical,3,0.775,0.5833333333333333,0.7916666666666667,0.7266433990956822,0.4298809523809524,32.759979998809285,30,,,60,"{'vector': 0.45, 'graph': 0.55}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=30 w=45/55 rrf=30 reranker=lexical,3,0.775,0.5833333333333333,0.7916666666666667,0.7266433990956822,0.4298809523809524,33.52207999560051,30,,,30,"{'vector': 0.45, 'graph': 0.55}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=30 w=50/50 rrf=60 reranker=lexical,3,0.775,0.5833333333333333,0.7916666666666667,0.7266433990956822,0.4298809523809524,36.208740004803985,30,,,60,"{'vector': 0.5, 'graph': 0.5}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=30 w=50/50 rrf=30 reranker=lexical,3,0.775,0.5833333333333333,0.7916666666666667,0.7266433990956822,0.4298809523809524,31.216359997051768,30,,,30,"{'vector': 0.5, 'graph': 0.5}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=30 w=60/40 rrf=60 reranker=lexical,3,0.725,0.55,0.7666666666666667,0.6766433990956823,0.39654761904761904,32.110164989717305,30,,,60,"{'vector': 0.6, 'graph': 0.4}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=3 tc=30 w=60/40 rrf=30 reranker=lexical,3,0.725,0.55,0.7666666666666667,0.6766433990956823,0.39654761904761904,32.0522100024391,30,,,30,"{'vector': 0.6, 'graph': 0.4}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=def w=45/55 rrf=60 reranker=lexical,5,0.875,0.5241666666666667,0.8,0.7808551349494813,0.5232142857142856,40.42343499313574,,,,60,"{'vector': 0.45, 'graph': 0.55}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=def w=45/55 rrf=30 reranker=lexical,5,0.875,0.5241666666666667,0.8,0.7808551349494813,0.5232142857142856,34.138299999176525,,,,30,"{'vector': 0.45, 'graph': 0.55}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=def w=50/50 rrf=60 reranker=lexical,5,0.875,0.5241666666666667,0.8,0.7808551349494813,0.5232142857142856,34.297999998671,,,,60,"{'vector': 0.5, 'graph': 0.5}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=def w=50/50 rrf=30 reranker=lexical,5,0.875,0.5241666666666667,0.8,0.7808551349494813,0.5232142857142856,34.975970003870316,,,,30,"{'vector': 0.5, 'graph': 0.5}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=def w=60/40 rrf=60 reranker=lexical,5,0.9,0.5341666666666667,0.8,0.8001977753112083,0.5132142857142857,35.279539998737164,,,,60,"{'vector': 0.6, 'graph': 0.4}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=def w=60/40 rrf=30 reranker=lexical,5,0.9,0.5341666666666667,0.8,0.8001977753112083,0.5132142857142857,32.091589996707626,,,,30,"{'vector': 0.6, 'graph': 0.4}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=30 w=45/55 rrf=60 reranker=lexical,5,0.9,0.515,0.775,0.7835255750019072,0.5232142857142856,33.61480500025209,30,,,60,"{'vector': 0.45, 'graph': 0.55}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=30 w=45/55 rrf=30 reranker=lexical,5,0.9,0.515,0.775,0.7835255750019072,0.5232142857142856,43.45518999907654,30,,,30,"{'vector': 0.45, 'graph': 0.55}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=30 w=50/50 rrf=60 reranker=lexical,5,0.9,0.515,0.775,0.7835255750019072,0.5232142857142856,35.52558000956196,30,,,60,"{'vector': 0.5, 'graph': 0.5}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=30 w=50/50 rrf=30 reranker=lexical,5,0.9,0.515,0.775,0.7835255750019072,0.5232142857142856,33.10966499266215,30,,,30,"{'vector': 0.5, 'graph': 0.5}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=30 w=60/40 rrf=60 reranker=lexical,5,0.9,0.515,0.75,0.7660716214922639,0.5232142857142856,35.289070004364476,30,,,60,"{'vector': 0.6, 'graph': 0.4}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=5 tc=30 w=60/40 rrf=30 reranker=lexical,5,0.9,0.515,0.75,0.7660716214922639,0.5232142857142856,41.501575004076585,30,,,30,"{'vector': 0.6, 'graph': 0.4}",lexical,intfloat/multilingual-e5-small,1000,150
MEAN,Neo4j (Hybrid) k=8 tc=def w=45/55 rrf=60 reranker=lexical,8,0.9,0.5241666666666667,0.8,0.7988542548210436,0.5232142857142856,34.894919994985685,,,,60,"{'vector': 0.45, 'graph': 0.55}",lexical,intfloat/multilingual-e5-small,1000,150
