question_id,strategy,evaluation_k,recall_at_k,precision_at_k,mrr,ndcg_at_k,coverage,latency_ms,total_candidate_budget,vector_candidate_k,graph_candidate_k,rrf_k,weights,reranker,embedding_tag,chunk_size,chunk_overlap
1,Chroma (Vector) k=3,3,1.0,1.0,1.0,1.0,0.4,180.2194999763742,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
2,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,49.04049995820969,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
3,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,96.9762000022456,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
4,Chroma (Vector) k=3,3,0.5,0.5,1.0,0.6131471927654584,0.0,54.23849995713681,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
5,Chroma (Vector) k=3,3,1.0,1.0,1.0,1.0,0.0,58.33550001261756,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
6,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,44.94610003894195,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
7,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,41.25840001506731,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
8,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.6,33.836200018413365,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
9,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.16666666666666666,55.82660000072792,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
10,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,42.722699989099056,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
11,Chroma (Vector) k=3,3,0.5,0.3333333333333333,0.3333333333333333,0.3065735963827292,0.6,33.36279996437952,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
12,Chroma (Vector) k=3,3,1.0,1.0,1.0,1.0,0.5714285714285714,25.141699996311218,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
13,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,46.24799999874085,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
14,Chroma (Vector) k=3,3,1.0,0.6666666666666666,1.0,0.9197207891481876,0.4,108.5566999972798,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
15,Chroma (Vector) k=3,3,0.5,0.3333333333333333,0.5,0.38685280723454163,0.6,67.24539998685941,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
16,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,73.9532999577932,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
17,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,30.35950002958998,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
18,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.5,35.322100040502846,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
19,Chroma (Vector) k=3,3,0.5,0.3333333333333333,1.0,0.6131471927654584,0.8,28.89740001410246,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
20,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,35.20769998431206,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
MEAN,Chroma (Vector) k=3,3,0.5,0.6583333333333333,0.7416666666666667,0.5372309560210021,0.2519047619047619,57.08473999693524,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
1,Neo4j (Vector) k=3,3,1.0,1.0,1.0,1.0,0.4,51.83409998426214,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
2,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,40.05350003717467,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
3,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,22.31309999478981,9,9,0,,{},off,intfloat/multilingual-e5-small,1000,150
