question_id,strategy,evaluation_k,recall_at_k,precision_at_k,mrr,ndcg_at_k,coverage,latency_ms,total_candidate_budget,vector_candidate_k,graph_candidate_k,rrf_k,weights,reranker,embedding_tag,chunk_size,chunk_overlap
1,Chroma (Vector) k=3,3,0.5,0.5,1.0,0.6131471927654584,0.0,839.7989999793936,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
2,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,79.85460001509637,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
3,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,29.733200004557148,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
4,Chroma (Vector) k=3,3,0.5,0.5,0.5,0.38685280723454163,0.0,68.93029998173006,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
5,Chroma (Vector) k=3,3,1.0,1.0,1.0,1.0,0.0,55.035099998349324,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
6,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,82.17270000022836,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
7,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,60.918400005903095,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
8,Chroma (Vector) k=3,3,1.0,1.0,1.0,1.0,0.4,84.43370001623407,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
9,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.16666666666666666,51.28320000949316,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
10,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,115.81139999907464,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
11,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.4,50.666099996306,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
12,Chroma (Vector) k=3,3,1.0,1.0,1.0,1.0,0.5714285714285714,59.77500000153668,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
13,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,45.924400008516386,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
14,Chroma (Vector) k=3,3,0.5,0.3333333333333333,1.0,0.6131471927654584,0.4,76.11500000348315,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
15,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.2,63.420999998925254,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
16,Chroma (Vector) k=3,3,0.5,0.5,1.0,0.6131471927654584,0.8333333333333334,37.763900007121265,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
17,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,30.581099999835715,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
18,Chroma (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.5,74.59960001870058,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
19,Chroma (Vector) k=3,3,0.5,0.5,1.0,0.6131471927654584,0.8,68.68339999346063,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
20,Chroma (Vector) k=3,3,0.0,0.0,0.0,0.0,0.0,50.85709999548271,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
MEAN,Chroma (Vector) k=3,3,0.45,0.6166666666666667,0.725,0.5065735963827291,0.2335714285714286,101.31791000167141,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
1,Neo4j (Vector) k=3,3,0.5,0.5,1.0,0.6131471927654584,0.0,189.06490001245402,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
2,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,48.129000002518296,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
3,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,47.59649999323301,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
4,Neo4j (Vector) k=3,3,0.5,0.5,0.5,0.38685280723454163,0.0,68.33800001186319,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
5,Neo4j (Vector) k=3,3,1.0,1.0,1.0,1.0,0.0,49.04260000330396,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
6,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,57.503200019709766,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
7,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.2,77.12410000385717,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
8,Neo4j (Vector) k=3,3,1.0,1.0,1.0,1.0,0.4,58.4106000023894,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
9,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.16666666666666666,48.97319999872707,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
10,Neo4j (Vector) k=3,3,0.5,1.0,1.0,0.6131471927654584,0.0,59.407099994132295,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
11,Neo4j (Vector) k=3,3,0.0,0.0,0.0,0.0,0.4,56.96590000297874,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
12,Neo4j (Vector) k=3,3,1.0,1.0,1.0,1.0,0.5714285714285714,41.5233000239823,9,9,0,,{},off,intfloat/multilingual-e5-small,800,100
